value,prefix,side,trial_id,instrument,subscale,item,gender,age,dominant_arm,cohort,videogame_exp,videogame_conf,exercise_conf,cue_conf,activites,measure_label
15.0,rightscore,,1,,,,2,20,1,1,"2,3,4",1,2,3,"1,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,21,2,4,"2,3,4",2,2,3,"1,8",rightscore_Trial_1
8.0,rightscore,,1,,,,1,20,1,2,"2,4",2,2,2,"1,2,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,21,1,4,"2,3,4",2,2,2,"1,4",rightscore_Trial_1
6.0,rightscore,,1,,,,2,21,1,3,2,2,3,2,"4,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,21,1,4,"2,3,4",3,3,3,"1,4,5,8",rightscore_Trial_1
15.0,rightscore,,1,,,,3,21,2,1,"2,3,4",2,1,2,"1,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,19,1,4,"2,4",2,3,2,"2,4,5",rightscore_Trial_1
10.0,rightscore,,1,,,,1,20,1,2,4,2,3,2,4,rightscore_Trial_1
3.0,rightscore,,1,,,,2,23,1,3,"2,3,4",1,3,2,"1,4,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,19,1,4,2,2,3,3,"1,4,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,20,2,1,"2,4",1,3,2,"1,4,6,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,22,1,4,"2,3",1,2,3,"4,5",rightscore_Trial_1
11.0,rightscore,,1,,,,2,20,1,2,2,2,2,2,"2,4,8",rightscore_Trial_1
11.0,rightscore,,1,,,,2,25,1,2,"2,4",2,2,2,"2,4,6,7",rightscore_Trial_1
7.0,rightscore,,1,,,,2,20,1,2,2,2,2,2,"2,4,8",rightscore_Trial_1
7.0,rightscore,,1,,,,2,25,1,2,"2,4",2,2,2,"2,4,6,7",rightscore_Trial_1
15.0,rightscore,,1,,,,2,20,1,4,"2,4",1,3,2,"1,2,4,8",rightscore_Trial_1
5.0,rightscore,,1,,,,2,19,1,3,2,2,3,2,"2,4",rightscore_Trial_1
15.0,rightscore,,1,,,,2,22,1,4,2,2,2,2,"2,4,6,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,18,1,1,2,2,2,2,"4,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,19,1,4,2,1,3,2,"2,6,8",rightscore_Trial_1
9.0,rightscore,,1,,,,2,21,1,2,"2,4",2,2,2,1,rightscore_Trial_1
15.0,rightscore,,1,,,,2,19,2,4,2,1,2,3,"4,5,6",rightscore_Trial_1
3.0,rightscore,,1,,,,1,20,1,3,"2,4",2,2,2,4,rightscore_Trial_1
15.0,rightscore,,1,,,,2,18,1,4,2,2,2,2,4,rightscore_Trial_1
15.0,rightscore,,1,,,,1,21,1,1,"2,4",2,3,3,"1,4",rightscore_Trial_1
15.0,rightscore,,1,,,,2,24,1,4,2,1,1,2,,rightscore_Trial_1
11.0,rightscore,,1,,,,2,19,1,2,2,1,1,2,"4,7",rightscore_Trial_1
15.0,rightscore,,1,,,,3,19,1,4,"2,3,4",2,1,2,"1,2,6,7,8",rightscore_Trial_1
7.0,rightscore,,1,,,,2,22,1,3,"2,4",1,3,3,"4,6,8",rightscore_Trial_1
15.0,rightscore,,1,,,,1,22,1,4,"2,3,4",2,3,2,"1,4",rightscore_Trial_1
15.0,rightscore,,1,,,,2,25,1,1,4,2,3,2,"1,2,4",rightscore_Trial_1
15.0,rightscore,,1,,,,2,21,1,4,2,2,2,2,"4,8",rightscore_Trial_1
10.0,rightscore,,1,,,,2,22,1,2,"2,3,4",2,3,3,"1,2,4",rightscore_Trial_1
15.0,rightscore,,1,,,,2,19,2,4,"2,3,4",2,1,3,"1,2,4,5,6,7,8",rightscore_Trial_1
4.0,rightscore,,1,,,,2,20,1,3,"2,4",1,3,2,"4,5,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,21,1,4,"2,3,4",2,2,2,"2,4,8",rightscore_Trial_1
15.0,rightscore,,1,,,,1,30,1,1,"2,3,4",3,3,3,"1,2,4,5,6,7,8",rightscore_Trial_1
15.0,rightscore,,1,,,,1,22,1,4,"2,4",3,3,3,"1,2,4,5",rightscore_Trial_1
5.0,rightscore,,1,,,,1,18,1,2,"2,4",2,2,2,2,rightscore_Trial_1
15.0,rightscore,,1,,,,2,19,1,4,"2,3,4",3,2,2,"1,4,7",rightscore_Trial_1
9.0,rightscore,,1,,,,1,19,1,3,"3,4",3,2,2,"1,4",rightscore_Trial_1
15.0,rightscore,,1,,,,1,23,1,4,"2,3,4",2,3,3,"1,2,4,5",rightscore_Trial_1
15.0,rightscore,,1,,,,2,21,2,1,"2,3,4",2,2,2,"1,4,5,8",rightscore_Trial_1
15.0,rightscore,,1,,,,1,29,1,4,3,2,2,2,"1,2,4",rightscore_Trial_1
7.0,rightscore,,1,,,,2,27,2,2,2,2,2,2,"4,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,18,1,4,"2,4",2,3,3,"4,8",rightscore_Trial_1
5.0,rightscore,,1,,,,2,24,1,3,"2,3,4",2,3,3,"1,4,5,7,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,22,1,4,"2,3,4",1,3,3,8,rightscore_Trial_1
15.0,rightscore,,1,,,,2,23,1,1,"2,3,4",1,3,3,"2,4,6",rightscore_Trial_1
15.0,rightscore,,1,,,,1,21,1,4,"2,4",2,2,2,4,rightscore_Trial_1
6.0,rightscore,,1,,,,2,22,1,2,1,1,2,3,"4,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,20,1,4,"2,4",2,3,2,"1,2,4,5,6,7,8",rightscore_Trial_1
6.0,rightscore,,1,,,,2,24,1,3,"2,3,4",1,3,2,"4,8",rightscore_Trial_1
15.0,rightscore,,1,,,,2,21,1,4,"2,3,4",3,2,3,"1,2,7",rightscore_Trial_1
15.0,rightscore,,2,,,,2,20,1,1,"2,3,4",1,2,3,"1,8",rightscore_Trial_2
7.0,rightscore,,2,,,,2,21,2,4,"2,3,4",2,2,3,"1,8",rightscore_Trial_2
7.0,rightscore,,2,,,,1,20,1,2,"2,4",2,2,2,"1,2,8",rightscore_Trial_2
5.0,rightscore,,2,,,,2,21,1,4,"2,3,4",2,2,2,"1,4",rightscore_Trial_2
3.0,rightscore,,2,,,,2,21,1,3,2,2,3,2,"4,8",rightscore_Trial_2
12.0,rightscore,,2,,,,2,21,1,4,"2,3,4",3,3,3,"1,4,5,8",rightscore_Trial_2
